17:37:48.517 [main] INFO  at.jku.dke.slotmachine.optimizer.OptimizerApplication - Starting OptimizerApplication using Java 17 on DESKTOP-AQQHG1H with PID 19696 (C:\Users\pc\Documents\GitHub\SlotMachine-Optimizer\target\classes started by pc in C:\Users\pc\Documents\GitHub\SlotMachine-Optimizer)
17:52:30.335 [http-nio-8080-exec-10] INFO  at.jku.dke.slotmachine.optimizer.rest.legacy.LegacyEndpoint - Done. Converting flights ...
17:52:30.335 [http-nio-8080-exec-10] INFO  at.jku.dke.slotmachine.optimizer.rest.legacy.LegacyEndpoint - Done. Converting slots ...
17:52:34.563 [http-nio-8080-exec-10] INFO  at.jku.dke.slotmachine.optimizer.rest.legacy.LegacyEndpoint - Done.
17:52:35.943 [http-nio-8080-exec-10] INFO  at.jku.dke.slotmachine.optimizer.service.OptimizationService - Starting process to initialize optimization session.
17:52:39.939 [http-nio-8080-exec-10] INFO  at.jku.dke.slotmachine.optimizer.service.OptimizationService - Read the factory class from the JSON properties file.
17:52:39.939 [http-nio-8080-exec-10] INFO  at.jku.dke.slotmachine.optimizer.service.OptimizationService - Instantiate at.jku.dke.slotmachine.optimizer.optimization.optaplanner.OptaplannerOptimizationFactory for optimization framework OPTAPLANNER
17:52:39.939 [http-nio-8080-exec-10] INFO  at.jku.dke.slotmachine.optimizer.service.OptimizationService - Create a new optimization with the specified characteristics
17:55:30.948 [http-nio-8080-exec-1] INFO  at.jku.dke.slotmachine.optimizer.rest.legacy.LegacyEndpoint - Converting base data ...
17:55:30.948 [http-nio-8080-exec-1] INFO  at.jku.dke.slotmachine.optimizer.rest.legacy.LegacyEndpoint - Done. Converting flights ...
17:55:30.979 [http-nio-8080-exec-1] INFO  at.jku.dke.slotmachine.optimizer.rest.legacy.LegacyEndpoint - Done. Converting slots ...
17:55:30.979 [http-nio-8080-exec-1] INFO  at.jku.dke.slotmachine.optimizer.rest.legacy.LegacyEndpoint - Done.
17:55:30.979 [http-nio-8080-exec-1] INFO  at.jku.dke.slotmachine.optimizer.service.OptimizationService - Starting process to initialize optimization session.
17:55:30.979 [http-nio-8080-exec-1] INFO  at.jku.dke.slotmachine.optimizer.service.OptimizationService - Read the factory class from the JSON properties file.
